french,german,Category,Number_char,Frequency,Similarity_score
ouvrir,öffnen,liste_verbes_allemand_action_mouvements,6,4.27e-05,1.0
parler,sprechen,liste_verbes_allemand_action_mouvements,8,0.000135,0.57142857
partir,abreisen,liste_verbes_allemand_action_mouvements,8,1e-06,0.57142857
passer,verbringen,liste_verbes_allemand_action_mouvements,10,2.63e-05,0.75
penser,denken,liste_verbes_allemand_action_mouvements,6,0.00017,0.5
perdre du poids,abnehmen,liste_verbes_allemand_action_mouvements,8,1.58e-05,0.82608695
pleurer,betrauern,liste_verbes_allemand_action_mouvements,9,2.82e-07,0.5
plier,falten,liste_verbes_allemand_action_mouvements,6,5.89e-06,0.63636363
plonger,eintauchen,liste_verbes_allemand_action_mouvements,10,2.19e-06,0.88235294
porter,tragen,liste_verbes_allemand_action_mouvements,6,0.00011,0.66666666
poursuivre,fortsetzen,liste_verbes_allemand_action_mouvements,10,6.92e-06,0.6
pousser,drängen,liste_verbes_allemand_action_mouvements,7,8.91e-06,0.85714285
prendre,nehmen,liste_verbes_allemand_action_mouvements,6,0.000282,0.69230768
quitter,verlassen,liste_verbes_allemand_action_mouvements,9,8.91e-05,0.75
ramasser,einsammeln,liste_verbes_allemand_action_mouvements,10,2.14e-06,0.66666666
ramener / rapporter,zurückbringen,liste_verbes_allemand_action_mouvements,13,1.35e-06,0.8125
ramper,kriechen,liste_verbes_allemand_action_mouvements,8,2.82e-06,0.7142857
reculer,zurückweichen,liste_verbes_allemand_action_mouvements,13,4.07e-07,0.8
regarder,zuschauen,liste_verbes_allemand_action_mouvements,9,6.17e-06,0.76470588
renifler,schnüffeln,liste_verbes_allemand_action_mouvements,10,7.76e-07,0.66666666
réparer,reparieren,liste_verbes_allemand_action_mouvements,10,7.41e-06,0.2941176
répéter,wiederholen,liste_verbes_allemand_action_mouvements,11,1.78e-05,0.77777778
respirer,atmen,liste_verbes_allemand_action_mouvements,5,1.07e-05,0.8461538399999999
rêver,träumen,liste_verbes_allemand_action_mouvements,7,1.86e-05,0.66666666
rire,lachen,liste_verbes_allemand_action_mouvements,6,5.75e-05,0.8
rouler,rollen,liste_verbes_allemand_action_mouvements,6,3.16e-05,0.33333330000000005
s’accroupir,"sich ducken, Hocken",liste_verbes_allemand_action_mouvements,19,3.59e-07,0.86666666
s’allonger,sich hinlegen,liste_verbes_allemand_action_mouvements,13,3.23e-06,0.6521739
s’approcher,sich nähern,liste_verbes_allemand_action_mouvements,11,6.45e-06,0.54545453
s’asseoir,sich hinsetzen,liste_verbes_allemand_action_mouvements,14,2.69e-06,0.73913044
s’éloigner,sich entfernen,liste_verbes_allemand_action_mouvements,14,2.28e-05,0.58333334
s’étendre / s’étaler,sich ausbreiten,liste_verbes_allemand_action_mouvements,15,3.09e-06,0.77142857
s’évader,ausbrechen,liste_verbes_allemand_action_mouvements,10,2.69e-06,0.77777778
sauter,springen,liste_verbes_allemand_action_mouvements,8,1.82e-05,0.7142857
se coucher,sich hinlegen,liste_verbes_allemand_action_mouvements,13,3.23e-06,0.6521739
se doucher / prendre une douche,duschen,liste_verbes_allemand_action_mouvements,7,1.1e-05,0.68421054
se garer,parken,liste_verbes_allemand_action_mouvements,6,9.33e-06,0.57142857
se lever,aufstehen,liste_verbes_allemand_action_mouvements,9,1.7e-05,0.6470587999999999
se mettre à genoux / s’agenouiller,knien,liste_verbes_allemand_action_mouvements,5,4.37e-06,0.897435896
se retourner,sich umdrehen,liste_verbes_allemand_action_mouvements,13,4.17e-06,0.6
secouer,schütteln,liste_verbes_allemand_action_mouvements,9,6.46e-06,0.625
sentir,riechen,liste_verbes_allemand_action_mouvements,7,7.24e-06,0.69230768
siffler,pfeifen,liste_verbes_allemand_action_mouvements,7,5.62e-06,0.57142857
sortir,herauskommen,liste_verbes_allemand_action_mouvements,12,2.57e-06,0.88888889
souffler,blasen,liste_verbes_allemand_action_mouvements,6,1.26e-05,0.7142857
soulever,heben,liste_verbes_allemand_action_mouvements,5,1.32e-05,0.69230768
suer / transpirer,schwitzen,liste_verbes_allemand_action_mouvements,9,5.89e-06,0.7692307700000001
suivre (quelqu’un),folgen,liste_verbes_allemand_action_mouvements,6,0.000151,0.83333333
tirer,ziehen,liste_verbes_allemand_action_mouvements,6,0.000112,0.63636363
tomber,herabfallen,liste_verbes_allemand_action_mouvements,11,1.41e-07,0.76470588
toucher,berühren,liste_verbes_allemand_action_mouvements,8,1.1e-05,0.7333333200000001
tourner,drehen,liste_verbes_allemand_action_mouvements,6,3.39e-05,0.69230768
traîner,schleppen,liste_verbes_allemand_action_mouvements,9,3.89e-06,0.875
travailler,arbeiten,liste_verbes_allemand_action_mouvements,8,0.000251,0.77777778
venir,kommen,liste_verbes_allemand_action_mouvements,6,0.000513,0.63636363
verser (de l’eau),gießen,liste_verbes_allemand_action_mouvements,6,1.45e-05,0.82608695
visiter,besuchen,liste_verbes_allemand_action_mouvements,8,4.68e-05,0.86666666
voir,sehen,liste_verbes_allemand_action_mouvements,5,0.00049,1.0
voler (dans le ciel),fliegen,liste_verbes_allemand_action_mouvements,7,4.57e-05,0.77777778
voler (quelque chose),stehlen,liste_verbes_allemand_action_mouvements,7,6.76e-06,0.85714285
accueillant,gastfreundlich,liste_vocabulaire_allemand_adjectifs_essentiels,14,6.03e-07,0.84
admirable,bewundernswert,liste_vocabulaire_allemand_adjectifs_essentiels,14,1.45e-06,0.82608695
agacé,gereizt,liste_vocabulaire_allemand_adjectifs_essentiels,7,3.09e-06,0.83333333
âgé,alt,liste_vocabulaire_allemand_adjectifs_essentiels,3,0.000145,1.0
agréable,angenehm,liste_vocabulaire_allemand_adjectifs_essentiels,8,1.91e-05,0.625
aimable,freundlich,liste_vocabulaire_allemand_adjectifs_essentiels,10,2.75e-05,0.88235294
amer,bitter,liste_vocabulaire_allemand_adjectifs_essentiels,6,1.15e-05,0.6
amical,freundlich,liste_vocabulaire_allemand_adjectifs_essentiels,10,2.75e-05,0.75
amusant,lustig,liste_vocabulaire_allemand_adjectifs_essentiels,6,6.92e-05,0.53846154
ancien,antik,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.17e-06,0.45454543999999997
approximatif,annähernd,liste_vocabulaire_allemand_adjectifs_essentiels,9,1.17e-05,0.8095238
attentif,aufmerksam,liste_vocabulaire_allemand_adjectifs_essentiels,10,3.31e-05,0.77777778
automatique,automatisch,liste_vocabulaire_allemand_adjectifs_essentiels,11,3.8e-05,0.27272725
banal,banal,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.78e-06,0.0
bas,niedrig,liste_vocabulaire_allemand_adjectifs_essentiels,7,1.41e-05,1.0
"beau, bel, belle",schön,liste_vocabulaire_allemand_adjectifs_essentiels,5,0.000331,1.0
beaucoup,viel,liste_vocabulaire_allemand_adjectifs_essentiels,4,0.001,0.83333333
"bête, stupide",dumm,liste_vocabulaire_allemand_adjectifs_essentiels,4,5.75e-05,0.88235294
bien,gut,liste_vocabulaire_allemand_adjectifs_essentiels,3,0.00123,1.0
bizarre,seltsam,liste_vocabulaire_allemand_adjectifs_essentiels,7,2e-05,0.85714285
blessé,verletzt,liste_vocabulaire_allemand_adjectifs_essentiels,8,6.76e-05,0.7142857
bon,gut,liste_vocabulaire_allemand_adjectifs_essentiels,3,0.00123,1.0
bon marché,billig,liste_vocabulaire_allemand_adjectifs_essentiels,6,1.82e-05,0.875
bouché,verstopft,liste_vocabulaire_allemand_adjectifs_essentiels,9,2.19e-06,0.86666666
bronzé,braungebrannt,liste_vocabulaire_allemand_adjectifs_essentiels,13,1.32e-07,0.68421054
brusque,abrupt,liste_vocabulaire_allemand_adjectifs_essentiels,6,2.34e-06,0.53846154
bruyant,laut,liste_vocabulaire_allemand_adjectifs_essentiels,4,0.00017,0.63636363
calme,Ruhig,liste_vocabulaire_allemand_adjectifs_essentiels,5,5.75e-05,1.0
capable,fähig,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.15e-05,1.0
captivant,fesselnd,liste_vocabulaire_allemand_adjectifs_essentiels,8,7.24e-07,0.88235294
caractériel,"verhaltensgestört, charakterlich",liste_vocabulaire_allemand_adjectifs_essentiels,32,4.69e-08,0.6744186
carré,quadratisch,liste_vocabulaire_allemand_adjectifs_essentiels,11,1.23e-06,0.75
cassé,"kaputt, gebrochen",liste_vocabulaire_allemand_adjectifs_essentiels,17,1.17e-05,0.90909091
catastrophique,katastrophal,liste_vocabulaire_allemand_adjectifs_essentiels,12,2.29e-06,0.30769230000000003
célèbre,berühmt,liste_vocabulaire_allemand_adjectifs_essentiels,7,1.1e-05,0.7142857
chaleureux,warmherzig,liste_vocabulaire_allemand_adjectifs_essentiels,10,4.27e-07,0.7
chanceux,glücklich,liste_vocabulaire_allemand_adjectifs_essentiels,9,7.76e-05,0.76470588
charmant,charmant,liste_vocabulaire_allemand_adjectifs_essentiels,8,4.17e-06,0.0
chaud,heiß,liste_vocabulaire_allemand_adjectifs_essentiels,4,4.07e-05,0.77777778
cher,teuer,liste_vocabulaire_allemand_adjectifs_essentiels,5,3.72e-05,0.55555555
clair,klar,liste_vocabulaire_allemand_adjectifs_essentiels,4,0.000363,0.33333330000000005
classique,klassisch,liste_vocabulaire_allemand_adjectifs_essentiels,9,8.51e-06,0.44444439999999996
collant,klebrig,liste_vocabulaire_allemand_adjectifs_essentiels,7,1.02e-06,0.85714285
coloré,farbig,liste_vocabulaire_allemand_adjectifs_essentiels,6,2.57e-06,0.83333333
comestible,essbar,liste_vocabulaire_allemand_adjectifs_essentiels,6,1.1e-06,0.625
commercial,kommerziell,liste_vocabulaire_allemand_adjectifs_essentiels,11,2.14e-06,0.33333330000000005
commun,gemeinsam,liste_vocabulaire_allemand_adjectifs_essentiels,9,0.000126,0.7333333200000001
compact,kompakt,liste_vocabulaire_allemand_adjectifs_essentiels,7,4.68e-06,0.28571427000000005
compatissant,mitfühlend,liste_vocabulaire_allemand_adjectifs_essentiels,10,5.62e-07,0.72727272
complet,vollständig,liste_vocabulaire_allemand_adjectifs_essentiels,11,4.68e-05,0.66666666
complexe,komplex,liste_vocabulaire_allemand_adjectifs_essentiels,7,1.35e-05,0.19999999999999996
confiant,zuversichtlich,liste_vocabulaire_allemand_adjectifs_essentiels,14,4.37e-06,0.81818181
confortable,komfortabel,liste_vocabulaire_allemand_adjectifs_essentiels,11,2e-06,0.27272725
content,froh,liste_vocabulaire_allemand_adjectifs_essentiels,4,6.17e-05,0.81818181
convaincant,überzeugend,liste_vocabulaire_allemand_adjectifs_essentiels,11,8.13e-06,0.90909091
convenable,geeignet,liste_vocabulaire_allemand_adjectifs_essentiels,8,3.31e-05,0.77777778
convivial,benutzerfreundlich,liste_vocabulaire_allemand_adjectifs_essentiels,18,1.91e-07,0.85185185
"correct, bon","korrekt, okay",liste_vocabulaire_allemand_adjectifs_essentiels,13,1.77e-05,0.36
coupable,schuldig,liste_vocabulaire_allemand_adjectifs_essentiels,8,1.7e-05,0.625
courageux,mutig,liste_vocabulaire_allemand_adjectifs_essentiels,5,9.77e-06,0.7142857
court,kurz,liste_vocabulaire_allemand_adjectifs_essentiels,4,0.000269,0.55555555
crédible,glaubwürdig,liste_vocabulaire_allemand_adjectifs_essentiels,11,4.17e-06,0.68421054
croyant,gläubig,liste_vocabulaire_allemand_adjectifs_essentiels,7,1.7e-06,1.0
culturel,kulturell,liste_vocabulaire_allemand_adjectifs_essentiels,9,4.57e-06,0.17647060000000003
curieux,neugierig,liste_vocabulaire_allemand_adjectifs_essentiels,9,1.41e-05,0.75
dangereux,gefährlich,liste_vocabulaire_allemand_adjectifs_essentiels,10,3.98e-05,0.68421054
dégoûtant,ekelhaft,liste_vocabulaire_allemand_adjectifs_essentiels,8,6.46e-06,0.76470588
dégoûté,angeekelt,liste_vocabulaire_allemand_adjectifs_essentiels,9,3.98e-07,0.75
délectable,köstlich,liste_vocabulaire_allemand_adjectifs_essentiels,8,4.79e-06,0.77777778
"délicieux, délicieuse",köstlich,liste_vocabulaire_allemand_adjectifs_essentiels,8,4.79e-06,0.79310344
démocratique,demokratisch,liste_vocabulaire_allemand_adjectifs_essentiels,12,6.76e-06,0.41666669999999995
déprimé,deprimiert,liste_vocabulaire_allemand_adjectifs_essentiels,10,1.35e-06,0.4117647
dernier,letzter,liste_vocabulaire_allemand_adjectifs_essentiels,7,5.01e-05,0.7142857
désagréable,unangenehm,liste_vocabulaire_allemand_adjectifs_essentiels,10,1.29e-05,0.7142857
déterminé,bestimmt,liste_vocabulaire_allemand_adjectifs_essentiels,8,0.000174,0.76470588
différent,andersartig,liste_vocabulaire_allemand_adjectifs_essentiels,11,1.66e-07,0.8
difficile,schwierig,liste_vocabulaire_allemand_adjectifs_essentiels,9,4.9e-05,0.66666666
disparu,verschollen,liste_vocabulaire_allemand_adjectifs_essentiels,11,2.4e-06,0.88888889
divers,verschiedenartig,liste_vocabulaire_allemand_adjectifs_essentiels,16,1.23e-07,0.63636363
doué,begabt,liste_vocabulaire_allemand_adjectifs_essentiels,6,2.09e-06,1.0
doux,sanft,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.02e-05,1.0
drôle,witzig,liste_vocabulaire_allemand_adjectifs_essentiels,6,3.39e-05,1.0
dur,hart,liste_vocabulaire_allemand_adjectifs_essentiels,4,7.76e-05,0.7142857
dynamique,dynamisch,liste_vocabulaire_allemand_adjectifs_essentiels,9,3.02e-06,0.33333330000000005
